Date,"Apple Inc."
2015-07-01,11551
2015-07-02,12192
2015-07-03,10946
2015-07-04,9718
2015-07-05,10826
2015-07-06,11711
2015-07-07,13505
2015-07-08,14554
2015-07-09,13725
2015-07-10,12394
2015-07-11,10612
2015-07-12,11718
2015-07-13,12479
2015-07-14,11447
2015-07-15,10436
2015-07-16,10174
2015-07-17,9553
2015-07-18,8380
2015-07-19,9053
2015-07-20,11562
2015-07-21,12601
2015-07-22,14158
2015-07-23,11720
2015-07-24,10423
2015-07-25,8847
2015-07-26,10143
2015-07-27,10768
2015-07-28,10424
2015-07-29,17946
2015-07-30,10358
2015-07-31,9702
2015-08-01,8582
2015-08-02,8606
2015-08-03,9117
2015-08-04,10643
2015-08-05,10773
2015-08-06,10605
2015-08-07,9945
2015-08-08,8471
2015-08-09,9310
2015-08-10,11423
2015-08-11,13982
2015-08-12,12397
2015-08-13,11585
2015-08-14,10346
2015-08-15,9086
2015-08-16,10693
2015-08-17,11900
2015-08-18,11848
2015-08-19,11008
2015-08-20,11425
2015-08-21,10455
2015-08-22,8969
2015-08-23,9896
2015-08-24,11587
2015-08-25,12128
2015-08-26,12134
2015-08-27,11308
2015-08-28,10691
2015-08-29,8632
2015-08-30,10543
2015-08-31,12582
2015-09-01,12795
2015-09-02,13353
2015-09-03,12346
2015-09-04,11848
2015-09-05,10306
2015-09-06,11500
2015-09-07,14062
2015-09-08,15472
2015-09-09,23642
2015-09-10,23704
2015-09-11,18075
2015-09-12,17900
2015-09-13,15357
2015-09-14,17669
2015-09-15,17392
2015-09-16,17715
2015-09-17,16648
2015-09-18,14835
2015-09-19,11371
2015-09-20,13078
2015-09-21,16350
2015-09-22,16818
2015-09-23,14855
2015-09-24,14405
2015-09-25,14366
2015-09-26,12168
2015-09-27,14647
2015-09-28,17979
2015-09-29,16933
2015-09-30,15986
2015-10-01,14811
2015-10-02,13771
2015-10-03,11941
2015-10-04,12754
2015-10-05,17060
2015-10-06,16811
2015-10-07,16383
2015-10-08,15736
2015-10-09,14509
2015-10-10,15472
2015-10-11,12589
2015-10-12,16101
2015-10-13,16195
2015-10-14,14917
2015-10-15,15252
2015-10-16,14043
2015-10-17,12207
2015-10-18,12730
2015-10-19,20719
2015-10-20,15293
2015-10-21,14257
2015-10-22,14495
2015-10-23,14231
2015-10-24,11895
2015-10-25,13234
2015-10-26,14500
2015-10-27,15096
2015-10-28,17414
2015-10-29,14978
2015-10-30,13012
2015-10-31,10711
2015-11-01,13285
2015-11-02,15014
2015-11-03,14990
2015-11-04,14564
2015-11-05,14733
2015-11-06,13711
2015-11-07,11269
2015-11-08,11790
2015-11-09,13874
2015-11-10,13925
2015-11-11,13929
2015-11-12,14040
2015-11-13,12420
2015-11-14,10369
2015-11-15,12087
2015-11-16,13661
2015-11-17,14263
2015-11-18,13797
2015-11-19,13947
2015-11-20,12219
2015-11-21,10298
2015-11-22,11362
2015-11-23,13641
2015-11-24,12629
2015-11-25,11684
2015-11-26,11219
2015-11-27,10072
2015-11-28,9465
2015-11-29,11622
2015-11-30,13725
2015-12-01,14012
2015-12-02,14700
2015-12-03,14169
2015-12-04,15372
2015-12-05,10236
2015-12-06,11639
2015-12-07,13315
2015-12-08,14026
2015-12-09,13735
2015-12-10,13305
2015-12-11,12241
2015-12-12,10031
2015-12-13,10960
2015-12-14,12766
2015-12-15,12165
2015-12-16,11669
2015-12-17,11992
2015-12-18,10659
2015-12-19,9003
2015-12-20,9231
2015-12-21,14935
2015-12-22,11425
2015-12-23,10142
2015-12-24,9426
2015-12-25,8962
2015-12-26,10131
2015-12-27,10467
2015-12-28,10915
2015-12-29,11920
2015-12-30,11370
2015-12-31,9717
2016-01-01,9195
2016-01-02,11263
2016-01-03,12342
2016-01-04,17188
2016-01-05,13686
2016-01-06,13276
2016-01-07,13825
2016-01-08,12831
2016-01-09,11192
2016-01-10,13058
2016-01-11,14118
2016-01-12,13215
2016-01-13,12876
2016-01-14,13055
2016-01-15,12025
2016-01-16,10656
2016-01-17,11151
2016-01-18,12684
2016-01-19,14409
2016-01-20,13187
2016-01-21,13383
2016-01-22,12632
2016-01-23,10681
2016-01-24,11338
2016-01-25,12960
2016-01-26,14250
2016-01-27,16414
2016-01-28,14637
2016-01-29,13126
2016-01-30,10438
2016-01-31,11295
2016-02-01,16438
2016-02-02,15982
2016-02-03,14749
2016-02-04,14499
2016-02-05,13370
2016-02-06,11996
2016-02-07,13211
2016-02-08,14195
2016-02-09,13723
2016-02-10,12712
2016-02-11,12668
2016-02-12,11488
2016-02-13,10178
2016-02-14,10490
2016-02-15,12843
2016-02-16,14085
2016-02-17,15771
2016-02-18,15897
2016-02-19,14099
2016-02-20,12966
2016-02-21,13679
2016-02-22,16846
2016-02-23,16103
2016-02-24,15661
2016-02-25,16154
2016-02-26,14063
2016-02-27,11593
2016-02-28,13289
2016-02-29,14316
2016-03-01,14512
2016-03-02,13752
2016-03-03,13395
2016-03-04,11892
2016-03-05,10421
2016-03-06,11112
2016-03-07,13516
2016-03-08,13517
2016-03-09,12804
2016-03-10,13132
2016-03-11,11726
2016-03-12,10143
2016-03-13,11202
2016-03-14,12999
2016-03-15,12658
2016-03-16,13278
2016-03-17,13327
2016-03-18,12332
2016-03-19,9917
2016-03-20,10947
2016-03-21,17108
2016-03-22,15535
2016-03-23,12650
2016-03-24,11806
2016-03-25,10450
2016-03-26,9667
2016-03-27,10879
2016-03-28,11930
2016-03-29,13776
2016-03-30,12885
2016-03-31,12688
2016-04-01,27033
2016-04-02,12437
2016-04-03,11511
2016-04-04,13465
2016-04-05,12785
2016-04-06,14045
2016-04-07,12586
2016-04-08,11213
2016-04-09,9413
2016-04-10,10562
2016-04-11,13375
2016-04-12,12027
2016-04-13,11907
2016-04-14,11409
2016-04-15,10417
2016-04-16,8515
2016-04-17,9747
2016-04-18,13395
2016-04-19,12854
2016-04-20,12523
2016-04-21,12111
2016-04-22,11857
2016-04-23,9944
2016-04-24,10374
2016-04-25,12422
2016-04-26,13855
2016-04-27,15439
2016-04-28,13968
2016-04-29,11556
2016-04-30,9373
2016-05-01,10209
2016-05-02,11998
2016-05-03,12420
2016-05-04,12109
2016-05-05,12487
2016-05-06,10660
2016-05-07,8790
2016-05-08,8995
2016-05-09,11696
2016-05-10,11956
2016-05-11,11928
2016-05-12,12061
2016-05-13,11460
2016-05-14,9140
2016-05-15,9180
2016-05-16,12705
2016-05-17,13453
2016-05-18,13697
2016-05-19,16583
2016-05-20,13936
2016-05-21,10981
2016-05-22,10629
2016-05-23,12830
2016-05-24,12483
2016-05-25,12058
2016-05-26,11524
2016-05-27,10824
2016-05-28,8718
2016-05-29,8808
2016-05-30,9939
2016-05-31,11005
2016-06-01,10559
2016-06-02,10668
2016-06-03,9755
2016-06-04,8723
2016-06-05,8947
2016-06-06,10950
2016-06-07,10839
2016-06-08,10801
2016-06-09,10473
2016-06-10,9729
2016-06-11,8466
2016-06-12,8644
2016-06-13,12312
2016-06-14,12553
2016-06-15,11642
2016-06-16,10706
2016-06-17,9879
2016-06-18,8595
2016-06-19,9285
2016-06-20,12016
2016-06-21,11343
2016-06-22,10490
2016-06-23,10536
2016-06-24,9256
2016-06-25,8439
2016-06-26,9559
2016-06-27,9901
2016-06-28,10443
2016-06-29,10010
2016-06-30,9674
2016-07-01,9284
2016-07-02,8003
2016-07-03,8376
2016-07-04,9113
2016-07-05,9483
2016-07-06,9124
2016-07-07,8862
2016-07-08,8177
2016-07-09,7554
2016-07-10,7788
2016-07-11,9118
2016-07-12,9999
2016-07-13,9038
2016-07-14,8985
2016-07-15,8132
2016-07-16,7629
2016-07-17,8002
2016-07-18,9325
2016-07-19,9247
2016-07-20,9266
2016-07-21,9880
2016-07-22,8689
2016-07-23,7727
2016-07-24,8382
2016-07-25,9661
2016-07-26,10364
2016-07-27,10782
2016-07-28,10606
2016-07-29,10145
2016-07-30,8777
2016-07-31,9168
2016-08-01,9742
2016-08-02,9663
2016-08-03,9625
2016-08-04,9336
2016-08-05,8889
2016-08-06,7659
2016-08-07,7997
2016-08-08,8848
2016-08-09,9235
2016-08-10,9083
2016-08-11,9285
2016-08-12,8817
2016-08-13,7607
2016-08-14,7789
2016-08-15,9136
2016-08-16,9448
2016-08-17,9456
2016-08-18,9477
2016-08-19,8831
2016-08-20,7741
2016-08-21,8542
2016-08-22,9558
2016-08-23,10560
2016-08-24,10648
2016-08-25,10802
2016-08-26,10408
2016-08-27,8422
2016-08-28,9194
2016-08-29,10723
2016-08-30,23023
2016-08-31,17324
2016-09-01,13514
2016-09-02,12053
2016-09-03,9653
2016-09-04,10529
2016-09-05,11295
2016-09-06,13519
2016-09-07,25154
2016-09-08,25100
2016-09-09,21753
2016-09-10,16086
2016-09-11,16341
2016-09-12,16571
2016-09-13,17188
2016-09-14,16233
2016-09-15,17705
2016-09-16,16738
2016-09-17,16897
2016-09-18,17001
2016-09-19,18330
2016-09-20,19868
2016-09-21,22671
2016-09-22,21822
2016-09-23,13716
2016-09-24,11070
2016-09-25,17863
2016-09-26,16354
2016-09-27,16362
2016-09-28,18090
2016-09-29,17779
2016-09-30,17132
2016-10-01,13573
2016-10-02,14784
2016-10-03,18611
2016-10-04,17367
2016-10-05,15889
2016-10-06,16433
2016-10-07,16040
2016-10-08,12918
2016-10-09,16499
2016-10-10,40474
2016-10-11,43761
2016-10-12,44083
2016-10-13,21684
2016-10-14,14008
2016-10-15,12985
2016-10-16,13313
2016-10-17,14369
2016-10-18,14104
2016-10-19,13939
2016-10-20,14093
2016-10-21,12695
2016-10-22,11295
2016-10-23,12784
2016-10-24,14049
2016-10-25,15200
2016-10-26,15502
2016-10-27,15858
2016-10-28,13296
2016-10-29,10598
2016-10-30,11131
2016-10-31,13096
2016-11-01,13874
2016-11-02,13534
2016-11-03,14182
2016-11-04,13543
2016-11-05,11763
2016-11-06,12972
2016-11-07,13444
2016-11-08,13377
2016-11-09,11890
2016-11-10,12221
2016-11-11,10943
2016-11-12,9662
2016-11-13,10665
2016-11-14,13568
2016-11-15,13302
2016-11-16,14031
2016-11-17,13416
2016-11-18,11882
2016-11-19,10299
2016-11-20,14807
2016-11-21,14695
2016-11-22,14988
2016-11-23,15023
2016-11-24,12145
2016-11-25,12548
2016-11-26,13360
2016-11-27,11960
2016-11-28,13777
2016-11-29,14063
2016-11-30,14743
2016-12-01,14258
2016-12-02,13314
2016-12-03,11010
2016-12-04,12286
2016-12-05,14097
2016-12-06,13708
2016-12-07,14215
2016-12-08,13755
2016-12-09,11654
2016-12-10,9589
2016-12-11,10937
2016-12-12,12846
2016-12-13,13119
2016-12-14,13047
2016-12-15,12521
2016-12-16,10982
2016-12-17,10312
2016-12-18,10189
2016-12-19,11138
2016-12-20,11114
2016-12-21,11003
2016-12-22,14614
2016-12-23,8959
2016-12-24,7750
2016-12-25,8433
2016-12-26,10388
2016-12-27,11381
2016-12-28,11127
2016-12-29,11501
2016-12-30,9806
2016-12-31,8149
2017-01-01,8112
2017-01-02,11006
2017-01-03,12029
2017-01-04,12570
2017-01-05,12288
2017-01-06,12476
2017-01-07,12336
2017-01-08,12315
2017-01-09,14189
2017-01-10,14288
2017-01-11,13558
2017-01-12,13367
2017-01-13,12006
2017-01-14,10103
2017-01-15,10892
2017-01-16,12780
2017-01-17,13151
2017-01-18,12824
2017-01-19,12312
2017-01-20,12303
2017-01-21,9804
2017-01-22,11400
2017-01-23,13565
2017-01-24,13764
2017-01-25,12784
2017-01-26,13065
2017-01-27,11528
2017-01-28,9949
2017-01-29,13183
2017-01-30,15326
2017-01-31,14604
2017-02-01,14821
2017-02-02,14019
2017-02-03,13863
2017-02-04,10596
2017-02-05,12009
2017-02-06,13237
2017-02-07,14217
2017-02-08,14084
2017-02-09,13010
2017-02-10,12376
2017-02-11,10076
2017-02-12,11915
2017-02-13,12930
2017-02-14,12980
2017-02-15,13767
2017-02-16,13778
2017-02-17,13105
2017-02-18,11167
2017-02-19,12246
2017-02-20,12792
2017-02-21,15187
2017-02-22,14349
2017-02-23,14184
2017-02-24,13117
2017-02-25,10598
2017-02-26,11329
2017-02-27,13698
2017-02-28,13708
2017-03-01,12992
2017-03-02,13141
2017-03-03,11878
2017-03-04,9380
2017-03-05,11081
2017-03-06,13862
2017-03-07,13064
2017-03-08,12683
2017-03-09,12692
2017-03-10,10952
2017-03-11,9360
2017-03-12,10811
2017-03-13,12235
2017-03-14,12058
2017-03-15,11875
2017-03-16,11841
2017-03-17,10651
2017-03-18,8816
2017-03-19,9946
2017-03-20,11852
2017-03-21,13394
2017-03-22,12834
2017-03-23,12015
2017-03-24,11302
2017-03-25,9455
2017-03-26,10056
2017-03-27,12118
2017-03-28,12377
2017-03-29,12722
2017-03-30,12590
2017-03-31,11351
2017-04-01,10308
2017-04-02,10253
2017-04-03,12323
2017-04-04,12660
2017-04-05,12034
2017-04-06,11580
2017-04-07,10188
2017-04-08,8532
2017-04-09,10150
2017-04-10,11385
2017-04-11,11203
2017-04-12,11315
2017-04-13,10544
2017-04-14,10106
2017-04-15,8867
2017-04-16,9301
2017-04-17,11208
2017-04-18,11756
2017-04-19,12065
2017-04-20,12261
2017-04-21,12837
2017-04-22,9083
2017-04-23,10400
2017-04-24,12431
2017-04-25,12477
2017-04-26,12111
2017-04-27,11556
2017-04-28,10606
2017-04-29,8801
2017-04-30,9862
2017-05-01,11834
2017-05-02,12499
2017-05-03,13246
2017-05-04,12847
2017-05-05,11283
2017-05-06,9263
2017-05-07,10349
2017-05-08,12416
2017-05-09,13940
2017-05-10,13534
2017-05-11,12305
2017-05-12,11044
2017-05-13,8892
2017-05-14,9571
2017-05-15,11665
2017-05-16,11654
2017-05-17,11655
2017-05-18,11399
2017-05-19,10512
2017-05-20,8679
2017-05-21,9102
2017-05-22,11212
2017-05-23,11250
2017-05-24,10601
2017-05-25,10233
2017-05-26,9113
2017-05-27,7701
2017-05-28,8399
2017-05-29,9511
2017-05-30,10122
2017-05-31,10163
2017-06-01,9649
2017-06-02,9629
2017-06-03,7870
2017-06-04,8323
2017-06-05,11630
2017-06-06,12322
2017-06-07,11576
2017-06-08,10665
2017-06-09,10293
2017-06-10,8143
2017-06-11,8622
2017-06-12,9853
2017-06-13,10347
2017-06-14,10382
2017-06-15,10697
2017-06-16,9917
2017-06-17,8246
2017-06-18,8373
2017-06-19,10097
2017-06-20,10402
2017-06-21,10290
2017-06-22,10299
2017-06-23,9119
2017-06-24,7248
2017-06-25,7672
2017-06-26,9401
2017-06-27,9901
2017-06-28,9954
2017-06-29,12897
2017-06-30,9619
2017-07-01,7404
2017-07-02,7999
2017-07-03,8980
2017-07-04,9059
2017-07-05,9577
2017-07-06,9319
2017-07-07,9206
2017-07-08,8095
2017-07-09,8434
2017-07-10,9584
2017-07-11,10365
2017-07-12,10629
2017-07-13,10747
2017-07-14,9683
2017-07-15,8901
2017-07-16,8978
2017-07-17,10136
2017-07-18,10611
2017-07-19,10914
2017-07-20,10551
2017-07-21,10191
2017-07-22,8125
2017-07-23,9307
2017-07-24,11659
2017-07-25,10887
2017-07-26,10979
2017-07-27,11588
2017-07-28,10712
2017-07-29,8947
2017-07-30,9191
2017-07-31,10041
2017-08-01,10975
2017-08-02,12348
2017-08-03,11153
2017-08-04,9624
2017-08-05,8440
2017-08-06,8922
2017-08-07,9963
2017-08-08,10177
2017-08-09,10482
2017-08-10,10676
2017-08-11,9537
2017-08-12,8009
2017-08-13,8517
2017-08-14,9450
2017-08-15,9749
2017-08-16,9862
2017-08-17,10312
2017-08-18,10224
2017-08-19,8940
2017-08-20,9498
2017-08-21,10295
2017-08-22,10764
2017-08-23,10781
2017-08-24,10843
2017-08-25,10247
2017-08-26,9086
2017-08-27,8686
2017-08-28,10443
2017-08-29,10694
2017-08-30,10615
2017-08-31,10935
2017-09-01,9790
2017-09-02,8906
2017-09-03,9116
2017-09-04,9868
2017-09-05,10579
2017-09-06,11005
2017-09-07,11866
2017-09-08,10444
2017-09-09,8728
2017-09-10,11290
2017-09-11,14129
2017-09-12,33916
2017-09-13,32607
2017-09-14,21026
2017-09-15,16910
2017-09-16,13457
2017-09-17,13908
2017-09-18,15544
2017-09-19,15737
2017-09-20,14953
2017-09-21,14480
2017-09-22,13343
2017-09-23,10973
2017-09-24,11296
2017-09-25,13426
2017-09-26,13719
2017-09-27,13507
2017-09-28,12563
2017-09-29,11300
2017-09-30,9187
2017-10-01,10515
2017-10-02,12324
2017-10-03,12896
2017-10-04,14268
2017-10-05,13433
2017-10-06,11484
2017-10-07,10822
2017-10-08,10771
2017-10-09,13092
2017-10-10,14465
2017-10-11,14688
2017-10-12,12377
2017-10-13,11715
2017-10-14,9834
2017-10-15,10046
2017-10-16,12229
2017-10-17,11698
2017-10-18,11294
2017-10-19,10989
2017-10-20,10082
2017-10-21,8719
2017-10-22,9969
2017-10-23,11894
2017-10-24,12396
2017-10-25,11721
2017-10-26,11832
2017-10-27,11620
2017-10-28,9826
2017-10-29,10641
2017-10-30,12518
2017-10-31,13010
2017-11-01,12314
2017-11-02,12474
2017-11-03,14135
2017-11-04,12062
2017-11-05,12464
2017-11-06,16010
2017-11-07,15435
2017-11-08,14226
2017-11-09,13618
2017-11-10,11779
2017-11-11,10092
2017-11-12,11176
2017-11-13,12737
2017-11-14,13453
2017-11-15,12963
2017-11-16,12352
2017-11-17,11118
2017-11-18,9323
2017-11-19,10455
2017-11-20,11977
2017-11-21,12225
2017-11-22,11532
2017-11-23,10895
2017-11-24,9927
2017-11-25,9528
2017-11-26,10818
2017-11-27,12696
2017-11-28,12838
2017-11-29,12352
2017-11-30,11656
2017-12-01,10163
2017-12-02,8920
2017-12-03,9801
2017-12-04,12854
2017-12-05,13579
2017-12-06,12337
2017-12-07,13232
2017-12-08,11064
2017-12-09,9278
2017-12-10,9841
2017-12-11,11873
2017-12-12,13218
2017-12-13,11448
2017-12-14,12244
2017-12-15,10761
2017-12-16,8474
2017-12-17,9126
2017-12-18,10413
2017-12-19,10082
2017-12-20,9697
2017-12-21,10110
2017-12-22,8831
2017-12-23,7580
2017-12-24,7485
2017-12-25,8001
2017-12-26,9072
2017-12-27,10220
2017-12-28,11056
2017-12-29,11449
2017-12-30,8982
2017-12-31,8010
2018-01-01,7952
2018-01-02,10336
2018-01-03,12135
2018-01-04,11003
2018-01-05,10184
2018-01-06,8625
2018-01-07,9109
2018-01-08,10343
2018-01-09,11761
2018-01-10,13413
2018-01-11,11835
2018-01-12,10768
2018-01-13,8973
2018-01-14,8879
2018-01-15,10329
2018-01-16,11662
2018-01-17,12311
2018-01-18,14768
2018-01-19,12162
2018-01-20,9222
2018-01-21,9749
2018-01-22,11528
2018-01-23,11953
2018-01-24,11997
2018-01-25,11743
2018-01-26,10434
2018-01-27,8643
2018-01-28,9823
2018-01-29,12243
2018-01-30,12247
2018-01-31,11866
2018-02-01,12112
2018-02-02,12265
2018-02-03,9415
2018-02-04,10580
2018-02-05,11504
2018-02-06,12399
2018-02-07,14499
2018-02-08,11138
2018-02-09,10189
2018-02-10,8545
2018-02-11,9597
2018-02-12,11106
2018-02-13,10532
2018-02-14,10164
2018-02-15,10511
2018-02-16,9958
2018-02-17,8618
2018-02-18,9606
2018-02-19,11020
2018-02-20,11550
2018-02-21,11584
2018-02-22,11933
2018-02-23,10885
2018-02-24,10014
2018-02-25,10904
2018-02-26,12654
2018-02-27,12821
2018-02-28,12112
2018-03-01,11355
2018-03-02,10231
2018-03-03,8979
2018-03-04,9248
2018-03-05,11729
2018-03-06,12327
2018-03-07,12114
2018-03-08,11172
2018-03-09,10572
2018-03-10,9436
2018-03-11,10285
2018-03-12,12880
2018-03-13,12843
2018-03-14,12774
2018-03-15,13584
2018-03-16,10685
2018-03-17,8752
2018-03-18,9854
2018-03-19,11428
2018-03-20,13726
2018-03-21,12358
2018-03-22,11917
2018-03-23,10671
2018-03-24,9302
2018-03-25,10154
2018-03-26,11334
2018-03-27,11931
2018-03-28,11732
2018-03-29,11257
2018-03-30,9797
2018-03-31,8399
2018-04-01,10929
2018-04-02,11024
2018-04-03,11772
2018-04-04,11567
2018-04-05,11075
2018-04-06,10378
2018-04-07,8562
2018-04-08,10098
2018-04-09,11845
2018-04-10,11660
2018-04-11,11594
2018-04-12,11222
2018-04-13,10078
2018-04-14,8510
2018-04-15,9105
2018-04-16,11083
2018-04-17,11268
2018-04-18,10971
2018-04-19,10511
2018-04-20,10079
2018-04-21,8125
2018-04-22,9128
2018-04-23,12008
2018-04-24,11749
2018-04-25,11504
2018-04-26,10812
2018-04-27,11115
2018-04-28,7242
2018-04-29,8320
2018-04-30,10366
2018-05-01,10689
2018-05-02,11820
2018-05-03,10967
2018-05-04,11128
2018-05-05,8991
2018-05-06,9941
2018-05-07,11872
2018-05-08,11637
2018-05-09,13656
2018-05-10,11646
2018-05-11,10423
2018-05-12,8739
2018-05-13,8823
2018-05-14,11294
2018-05-15,10511
2018-05-16,10864
2018-05-17,10506
2018-05-18,9806
2018-05-19,8036
2018-05-20,8456
2018-05-21,10498
2018-05-22,10451
2018-05-23,10099
2018-05-24,10369
2018-05-25,9242
2018-05-26,7436
2018-05-27,8321
2018-05-28,9036
2018-05-29,10156
2018-05-30,10178
2018-05-31,10087
2018-06-01,8931
2018-06-02,7941
2018-06-03,8473
2018-06-04,12077
2018-06-05,12661
2018-06-06,11728
2018-06-07,11254
2018-06-08,9739
2018-06-09,8193
2018-06-10,8566
2018-06-11,10467
2018-06-12,10261
2018-06-13,10539
2018-06-14,9962
2018-06-15,8670
2018-06-16,9554
2018-06-17,7664
2018-06-18,9564
2018-06-19,9982
2018-06-20,9980
2018-06-21,10052
2018-06-22,8556
2018-06-23,7998
2018-06-24,8087
2018-06-25,9516
2018-06-26,9799
2018-06-27,9745
2018-06-28,9627
2018-06-29,9308
2018-06-30,7654
2018-07-01,7905
2018-07-02,8998
2018-07-03,9344
2018-07-04,9460
2018-07-05,11063
2018-07-06,9143
2018-07-07,8066
2018-07-08,8828
2018-07-09,9747
2018-07-10,9722
2018-07-11,10058
2018-07-12,10345
2018-07-13,9097
2018-07-14,8104
2018-07-15,8400
2018-07-16,9442
2018-07-17,10603
2018-07-18,11072
2018-07-19,10547
2018-07-20,10196
2018-07-21,8161
2018-07-22,8500
2018-07-23,10285
2018-07-24,10129
2018-07-25,10193
2018-07-26,12168
2018-07-27,9966
2018-07-28,9180
2018-07-29,9009
2018-07-30,10414
2018-07-31,12615
2018-08-01,14846
2018-08-02,38123
2018-08-03,40853
2018-08-04,22114
2018-08-05,17306
2018-08-06,16581
2018-08-07,15831
2018-08-08,14915
2018-08-09,13810
2018-08-10,12369
2018-08-11,10603
2018-08-12,10930
2018-08-13,12427
2018-08-14,12661
2018-08-15,12066
2018-08-16,12796
2018-08-17,11901
2018-08-18,10333
2018-08-19,11341
2018-08-20,12528
2018-08-21,11553
2018-08-22,15443
2018-08-23,11796
2018-08-24,11544
2018-08-25,9837
2018-08-26,10523
2018-08-27,12052
2018-08-28,12847
2018-08-29,12523
2018-08-30,12499
2018-08-31,11624
2018-09-01,9842
2018-09-02,10352
2018-09-03,11413
2018-09-04,19070
2018-09-05,14835
2018-09-06,15039
2018-09-07,12118
2018-09-08,10912
2018-09-09,13755
2018-09-10,15339
2018-09-11,16050
2018-09-12,25778
2018-09-13,25450
2018-09-14,17034
2018-09-15,13476
2018-09-16,14004
2018-09-17,18247
2018-09-18,17606
2018-09-19,16921
2018-09-20,17844
2018-09-21,16218
2018-09-22,14790
2018-09-23,13848
2018-09-24,15715
2018-09-25,33805
2018-09-26,20366
2018-09-27,26320
2018-09-28,32635
2018-09-29,11979
2018-09-30,13312
2018-10-01,15994
2018-10-02,16234
2018-10-03,14086
2018-10-04,14576
2018-10-05,13847
